Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All login,Chrome 114.0.0.0,,,2023-07-18 13:59:59,2023-07-18 14:02:24,"2m - 24,653s",FAILED
,,,,,,,
Test Cases/1-Login/Login_CheckPasswordFeature,Chrome 114.0.0.0,,,2023-07-18 13:59:59,2023-07-18 14:00:36,"36,427s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-18 14:00:00,2023-07-18 14:00:04,"3,836s",PASSED
"navigateToUrl(""https://app.qa.oneteg.com/"")",Chrome 114.0.0.0,,,2023-07-18 14:00:04,2023-07-18 14:00:14,"9,838s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Email_login-username""), ""bgovercin@cyangate.com"")",Chrome 114.0.0.0,,,2023-07-18 14:00:14,2023-07-18 14:00:21,"7,094s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Password_login-password""), ""l8nIxjPZvqU="")",Chrome 114.0.0.0,,,2023-07-18 14:00:21,2023-07-18 14:00:28,"6,764s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/i_Password_el-input__icon el-icon-view el-i_d02f2e""))",Chrome 114.0.0.0,,,2023-07-18 14:00:28,2023-07-18 14:00:32,"3,618s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/i_Password_el-input__icon el-icon-view el-i_d02f2e""))",Chrome 114.0.0.0,,,2023-07-18 14:00:32,2023-07-18 14:00:35,"3,519s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-18 14:00:35,2023-07-18 14:00:36,"0,815s",PASSED
,,,,,,,
Test Cases/1-Login/Login_DifferentLanguage,Chrome 114.0.0.0,,,2023-07-18 14:00:36,2023-07-18 14:01:15,"38,996s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-18 14:00:37,2023-07-18 14:00:38,"1,500s",PASSED
"navigateToUrl(""https://app.qa.oneteg.com/"")",Chrome 114.0.0.0,,,2023-07-18 14:00:38,2023-07-18 14:00:45,"7,312s",PASSED
