Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Basic Flows,Chrome 115.0.0.0,,,2023-08-02 13:53:01,2023-08-02 14:03:24,"10m - 22,316s",PASSED
,,,,,,,
Test Cases/Smoke Testing/Basic Flow Check/4AllPortal Flow Check,Chrome 115.0.0.0,,,2023-08-02 13:53:02,2023-08-02 13:55:42,"2m - 40,288s",PASSED
"callTestCase(findTestCase(""1-Login/Login_WithoutLogout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 13:53:03,2023-08-02 13:53:15,"12,404s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/li_Flows""))",Chrome 115.0.0.0,,,2023-08-02 13:53:15,2023-08-02 13:53:19,"3,646s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Active_search-input""), ""4Allportal Hospital Basic Flow"")",Chrome 115.0.0.0,,,2023-08-02 13:53:19,2023-08-02 13:53:22,"2,661s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/td_4Allportal Hospital Basic Flow  v9""))",Chrome 115.0.0.0,,,2023-08-02 13:53:22,2023-08-02 13:53:27,"5,554s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/div_Apps Get all respository apps (GET)""))",Chrome 115.0.0.0,,,2023-08-02 13:53:27,2023-08-02 13:53:30,"3,224s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_Apps Get all respository apps (GET)__1baa0f""))",Chrome 115.0.0.0,,,2023-08-02 13:53:30,2023-08-02 13:53:32,"1,978s",PASSED
"verifyElementPresent(findTestObject(""Page_OneTeg  Simplified Integration/4Allportal Flow - Process completed""), 0)",Chrome 115.0.0.0,,,2023-08-02 13:53:32,2023-08-02 13:54:06,"33,972s",PASSED
"click(findTestObject(""Page_OneTeg  Simplified Integration/li_Activities""))",Chrome 115.0.0.0,,,2023-08-02 13:54:06,2023-08-02 13:54:37,"30,378s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-02 13:54:37,2023-08-02 13:54:40,"3,039s",PASSED
"callTestCase(findTestCase(""1-Login/Just Logout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 13:54:40,2023-08-02 13:55:42,"1m - 2,434s",PASSED
,,,,,,,
Test Cases/Smoke Testing/Basic Flow Check/AWS Flow Check,Chrome 115.0.0.0,,,2023-08-02 13:55:42,2023-08-02 13:58:17,"2m - 34,767s",PASSED
"callTestCase(findTestCase(""1-Login/Login_WithoutLogout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 13:55:43,2023-08-02 13:55:51,"8,311s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/li_Flows""))",Chrome 115.0.0.0,,,2023-08-02 13:55:51,2023-08-02 13:55:55,"4,009s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Active_search-input""), ""AWS Basic Flow"")",Chrome 115.0.0.0,,,2023-08-02 13:55:55,2023-08-02 13:55:58,"2,208s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/div_AWS Basic Flow  v9""))",Chrome 115.0.0.0,,,2023-08-02 13:55:58,2023-08-02 13:56:04,"5,997s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/div_Get Items""))",Chrome 115.0.0.0,,,2023-08-02 13:56:04,2023-08-02 13:56:07,"3,194s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_Apps Get all respository apps (GET)__1baa0f""))",Chrome 115.0.0.0,,,2023-08-02 13:56:07,2023-08-02 13:56:08,"1,639s",PASSED
"verifyElementPresent(findTestObject(""Page_OneTeg  Simplified Integration/AWS Flow - Process completed""), 0)",Chrome 115.0.0.0,,,2023-08-02 13:56:08,2023-08-02 13:56:42,"33,565s",PASSED
"click(findTestObject(""Page_OneTeg  Simplified Integration/li_Activities""))",Chrome 115.0.0.0,,,2023-08-02 13:56:42,2023-08-02 13:57:12,"30,299s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-02 13:57:12,2023-08-02 13:57:15,"3,005s",PASSED
"callTestCase(findTestCase(""1-Login/Just Logout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 13:57:15,2023-08-02 13:58:17,"1m - 1,659s",PASSED
,,,,,,,
Test Cases/Smoke Testing/Basic Flow Check/Bria Flow Check,Chrome 115.0.0.0,,,2023-08-02 13:58:17,2023-08-02 14:00:50,"2m - 33,427s",PASSED
"callTestCase(findTestCase(""1-Login/Login_WithoutLogout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 13:58:18,2023-08-02 13:58:26,"8,286s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/li_Flows""))",Chrome 115.0.0.0,,,2023-08-02 13:58:26,2023-08-02 13:58:30,"3,473s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Active_search-input""), ""bria"")",Chrome 115.0.0.0,,,2023-08-02 13:58:30,2023-08-02 13:58:32,"2,221s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/td_Bria Basic Flow  v2""))",Chrome 115.0.0.0,,,2023-08-02 13:58:32,2023-08-02 13:58:38,"5,729s",PASSED
